list-none-none,1,1,1,3,259859,86619
list-none-none,2,1,1,6,279544,46590
list-none-none,4,1,1,12,306108,25509
list-none-none,8,1,1,24,452476,18853
list-none-none,12,1,1,36,516419,14344
list-none-none,1,10,1,30,211449,7048
list-none-none,2,10,1,60,292592,4876
list-none-none,4,10,1,120,324173,2701
list-none-none,1,100,1,300,266003,886
list-none-none,2,100,1,600,628229,1047
list-none-none,1,1000,1,3000,3589711,1196
list-i-none,2,1,1,6,280179,46696
list-d-none,2,1,1,6,280481,46746
list-il-none,2,1,1,6,249804,41634
list-dl-none,2,1,1,6,251041,41840
list-i-s,2,1,1,6,335215,55869
list-d-s,2,1,1,6,282165,47027
list-il-s,2,1,1,6,290215,48369
list-dl-s,2,1,1,6,276006,46001
list-i-m,2,1,1,6,283195,47199
list-d-m,2,1,1,6,285235,47539
list-il-m,2,1,1,6,290480,48413
list-dl-m,2,1,1,6,254735,42455
list-i-none,4,1,1,12,291964,24330
list-d-none,4,1,1,12,359474,29956
list-il-none,4,1,1,12,299339,24944
list-dl-none,4,1,1,12,319575,26631
list-i-s,4,1,1,12,302832,25236
list-d-s,4,1,1,12,343426,28618
list-il-s,4,1,1,12,323032,26919
list-dl-s,4,1,1,12,346629,28885
list-i-m,4,1,1,12,315010,26250
list-d-m,4,1,1,12,315139,26261
list-il-m,4,1,1,12,314088,26174
list-dl-m,4,1,1,12,346350,28862
list-i-none,8,1,1,24,471274,19636
list-d-none,8,1,1,24,1189018,49542
list-il-none,8,1,1,24,489375,20390
list-dl-none,8,1,1,24,488242,20343
list-i-s,8,1,1,24,1218405,50766
list-d-s,8,1,1,24,455602,18983
list-il-s,8,1,1,24,450084,18753
list-dl-s,8,1,1,24,433365,18056
list-i-m,8,1,1,24,433729,18072
list-d-m,8,1,1,24,1176875,49036
list-il-m,8,1,1,24,512153,21339
list-dl-m,8,1,1,24,464565,19356
list-i-none,12,1,1,36,535996,14888
list-d-none,12,1,1,36,1284783,35688
list-il-none,12,1,1,36,1235889,34330
list-dl-none,12,1,1,36,1344187,37338
list-i-s,12,1,1,36,1207381,33538
list-d-s,12,1,1,36,1298746,36076
list-il-s,12,1,1,36,1306666,36296
list-dl-s,12,1,1,36,1074524,29847
list-i-m,12,1,1,36,1196948,33248
list-d-m,12,1,1,36,1221534,33931
list-il-m,12,1,1,36,1113234,30923
list-dl-m,12,1,1,36,580630,16128
list-i-none,2,2,1,12,273698,22808
list-d-none,2,2,1,12,308871,25739
list-il-none,2,2,1,12,269781,22481
list-dl-none,2,2,1,12,315524,26293
list-i-s,2,2,1,12,291937,24328
list-d-s,2,2,1,12,273071,22755
list-il-s,2,2,1,12,331898,27658
list-dl-s,2,2,1,12,311071,25922
list-i-m,2,2,1,12,325503,27125
list-d-m,2,2,1,12,301372,25114
list-il-m,2,2,1,12,305454,25454
list-dl-m,2,2,1,12,273547,22795
list-i-none,4,2,1,24,330697,13779
list-d-none,4,2,1,24,334642,13943
list-dl-none,4,2,1,24,340638,14193
list-i-s,4,2,1,24,338839,14118
list-d-s,4,2,1,24,346919,14454
list-il-s,4,2,1,24,345259,14385
list-dl-s,4,2,1,24,335520,13980
list-i-m,4,2,1,24,340300,14179
list-d-m,4,2,1,24,331000,13791
list-il-m,4,2,1,24,355020,14792
list-dl-m,4,2,1,24,349925,14580
list-i-none,8,2,1,48,504958,10519
list-il-none,8,2,1,48,503509,10489
list-dl-none,8,2,1,48,432947,9019
list-i-s,8,2,1,48,1148650,23930
list-d-s,8,2,1,48,464481,9676
list-il-s,8,2,1,48,475789,9912
list-dl-s,8,2,1,48,1151668,23993
list-i-m,8,2,1,48,460429,9592
list-d-m,8,2,1,48,470084,9793
list-il-m,8,2,1,48,1206219,25129
list-dl-m,8,2,1,48,444041,9250
list-i-none,12,2,1,72,630377,8755
list-d-none,12,2,1,72,1204805,16733
list-il-none,12,2,1,72,651160,9043
list-dl-none,12,2,1,72,1224417,17005
list-i-s,12,2,1,72,952670,13231
list-d-s,12,2,1,72,513718,7134
list-il-s,12,2,1,72,1302137,18085
list-dl-s,12,2,1,72,952403,13227
list-i-m,12,2,1,72,2359660,32773
list-d-m,12,2,1,72,1269032,17625
list-il-m,12,2,1,72,945577,13133
list-dl-m,12,2,1,72,1366262,18975
list-i-none,2,4,1,24,294169,12257
list-il-none,2,4,1,24,297625,12401
list-dl-none,2,4,1,24,329044,13710
list-i-s,2,4,1,24,270006,11250
list-d-s,2,4,1,24,309842,12910
list-il-s,2,4,1,24,320946,13372
list-dl-s,2,4,1,24,266365,11098
list-i-m,2,4,1,24,317369,13223
list-d-m,2,4,1,24,317190,13216
list-il-m,2,4,1,24,298215,12425
list-dl-m,2,4,1,24,262668,10944
list-il-none,4,4,1,48,322551,6719
list-dl-none,4,4,1,48,339944,7082
list-i-s,4,4,1,48,312857,6517
list-d-s,4,4,1,48,312364,6507
list-il-s,4,4,1,48,304563,6345
list-dl-s,4,4,1,48,297651,6201
list-i-m,4,4,1,48,313777,6537
list-d-m,4,4,1,48,354734,7390
list-il-m,4,4,1,48,343490,7156
list-dl-m,4,4,1,48,335640,6992
list-i-none,8,4,1,96,496484,5171
list-d-none,8,4,1,96,1177058,12261
list-dl-none,8,4,1,96,1245263,12971
list-i-s,8,4,1,96,536695,5590
list-d-s,8,4,1,96,433809,4518
list-il-s,8,4,1,96,399585,4162
list-dl-s,8,4,1,96,459208,4783
list-i-m,8,4,1,96,443148,4616
list-d-m,8,4,1,96,404889,4217
list-il-m,8,4,1,96,1144335,11920
list-dl-m,8,4,1,96,457187,4762
list-i-none,12,4,1,144,1244299,8640
list-dl-none,12,4,1,144,928354,6446
list-i-s,12,4,1,144,1111631,7719
list-d-s,12,4,1,144,598483,4156
list-il-s,12,4,1,144,1363921,9471
list-dl-s,12,4,1,144,963380,6690
list-i-m,12,4,1,144,550837,3825
list-d-m,12,4,1,144,879224,6105
list-il-m,12,4,1,144,1313011,9118
list-dl-m,12,4,1,144,546596,3795
list-i-none,2,8,1,48,274504,5718
list-d-none,2,8,1,48,334452,6967
list-il-none,2,8,1,48,374327,7798
list-i-s,2,8,1,48,349003,7270
list-d-s,2,8,1,48,307693,6410
list-il-s,2,8,1,48,274114,5710
list-dl-s,2,8,1,48,273981,5707
list-i-m,2,8,1,48,258056,5376
list-d-m,2,8,1,48,319358,6653
list-il-m,2,8,1,48,286641,5971
list-dl-m,2,8,1,48,296045,6167
list-i-none,4,8,1,96,319050,3323
list-d-none,4,8,1,96,343523,3578
list-i-s,4,8,1,96,332288,3461
list-d-s,4,8,1,96,349911,3644
list-il-s,4,8,1,96,363409,3785
list-dl-s,4,8,1,96,316213,3293
list-i-m,4,8,1,96,325343,3388
list-d-m,4,8,1,96,343606,3579
list-il-m,4,8,1,96,370546,3859
list-dl-m,4,8,1,96,339238,3533
list-d-none,8,8,1,192,439111,2287
list-i-s,8,8,1,192,488851,2546
list-d-s,8,8,1,192,1183567,6164
list-il-s,8,8,1,192,444307,2314
list-dl-s,8,8,1,192,445681,2321
list-i-m,8,8,1,192,394163,2052
list-d-m,8,8,1,192,508427,2648
list-il-m,8,8,1,192,446912,2327
list-dl-m,8,8,1,192,442111,2302
list-d-none,12,8,1,288,1117399,3879
list-dl-none,12,8,1,288,608524,2112
list-i-s,12,8,1,288,601441,2088
list-d-s,12,8,1,288,1195150,4149
list-il-s,12,8,1,288,1118236,3882
list-dl-s,12,8,1,288,576521,2001
list-i-m,12,8,1,288,1424129,4944
list-d-m,12,8,1,288,1231771,4276
list-il-m,12,8,1,288,1173227,4073
list-dl-m,12,8,1,288,639884,2221
list-i-none,2,16,1,96,282805,2945
list-d-none,2,16,1,96,336008,3500
list-il-none,2,16,1,96,409785,4268
list-dl-none,2,16,1,96,381037,3969
list-i-s,2,16,1,96,333302,3471
list-d-s,2,16,1,96,296072,3084
list-il-s,2,16,1,96,382214,3981
list-dl-s,2,16,1,96,375536,3911
list-i-m,2,16,1,96,322066,3354
list-d-m,2,16,1,96,297926,3103
list-il-m,2,16,1,96,382044,3979
list-dl-m,2,16,1,96,319143,3324
list-dl-none,4,16,1,192,575051,2995
list-i-s,4,16,1,192,343169,1787
list-d-s,4,16,1,192,361542,1883
list-il-s,4,16,1,192,443718,2311
list-dl-s,4,16,1,192,396422,2064
list-i-m,4,16,1,192,360096,1875
list-d-m,4,16,1,192,342071,1781
list-il-m,4,16,1,192,394555,2054
list-dl-m,4,16,1,192,444005,2312
list-d-none,8,16,1,384,445828,1161
list-i-s,8,16,1,384,519698,1353
list-d-s,8,16,1,384,452317,1177
list-il-s,8,16,1,384,753252,1961
list-dl-s,8,16,1,384,865646,2254
list-i-m,8,16,1,384,464823,1210
list-d-m,8,16,1,384,436163,1135
list-il-m,8,16,1,384,671893,1749
list-dl-m,8,16,1,384,804530,2095
list-i-s,12,16,1,576,949831,1649
list-d-s,12,16,1,576,542687,942
list-il-s,12,16,1,576,1288677,2237
list-dl-s,12,16,1,576,1704727,2959
list-i-m,12,16,1,576,1299221,2255
list-d-m,12,16,1,576,1252029,2173
list-il-m,12,16,1,576,1195793,2076
list-dl-m,12,16,1,576,1025458,1780
list-dl-none,2,32,1,192,840647,4378
list-i-s,2,32,1,192,361209,1881
list-d-s,2,32,1,192,302746,1576
list-il-s,2,32,1,192,556782,2899
list-dl-s,2,32,1,192,619990,3229
list-i-m,2,32,1,192,335762,1748
list-d-m,2,32,1,192,343164,1787
list-il-m,2,32,1,192,514409,2679
list-dl-m,2,32,1,192,580404,3022
list-i-s,4,32,1,384,400261,1042
list-d-s,4,32,1,384,422769,1100
list-il-s,4,32,1,384,1185171,3086
list-dl-s,4,32,1,384,1139593,2967
list-i-m,4,32,1,384,344926,898
list-d-m,4,32,1,384,382982,997
list-il-m,4,32,1,384,998080,2599
list-dl-m,4,32,1,384,931947,2426
list-il-none,8,32,1,768,2063216,2686
list-i-s,8,32,1,768,538706,701
list-d-s,8,32,1,768,523409,681
list-il-s,8,32,1,768,2313441,3012
list-dl-s,8,32,1,768,2389769,3111
list-i-m,8,32,1,768,506753,659
list-d-m,8,32,1,768,414443,539
list-il-m,8,32,1,768,1885895,2455
list-dl-m,8,32,1,768,1807846,2353
list-il-none,12,32,1,1152,3007980,2611
list-i-s,12,32,1,1152,925897,803
list-d-s,12,32,1,1152,1013445,879
list-il-s,12,32,1,1152,3928189,3409
list-dl-s,12,32,1,1152,4149439,3601
list-i-m,12,32,1,1152,1129835,980
list-d-m,12,32,1,1152,917673,796
list-il-m,12,32,1,1152,2555588,2218
list-dl-m,12,32,1,1152,2653870,2303
list-none-m,1,1000,1,3000,3607179,1202
list-none-s,1,1000,1,3000,3674155,1224
list-none-m,2,1000,1,6000,6866260,1144
list-none-s,2,1000,1,6000,8484947,1414
list-none-m,4,1000,1,12000,13500428,1125
list-none-s,4,1000,1,12000,37181163,3098
list-none-m,8,1000,1,24000,27221627,1134
list-none-s,8,1000,1,24000,129471426,5394
list-none-m,12,1000,1,36000,40357383,1121
list-none-s,12,1000,1,36000,273319501,7592
list-none-m,16,1000,1,48000,53864772,1122
list-none-s,16,1000,1,48000,456224908,9504
list-none-m,24,1000,1,72000,80891619,1123
list-none-s,24,1000,1,72000,871437678,12103
