add-none,1,10,20,384355,19217,0
add-yield-none,1,10,20,332423,16621,0
add-none,2,10,40,370762,9269,0
add-yield-none,2,10,40,366101,9152,1
add-none,4,10,80,498676,6233,0
add-yield-none,4,10,80,376293,4703,1
add-none,8,10,160,536666,3354,0
add-yield-none,8,10,160,512885,3205,1
add-none,12,10,240,1160844,4836,0
add-yield-none,12,10,240,1276421,5318,3
add-none,1,20,40,323223,8080,0
add-yield-none,1,20,40,347893,8697,0
add-none,2,20,80,376094,4701,0
add-yield-none,2,20,80,339873,4248,0
add-none,4,20,160,401808,2511,0
add-yield-none,4,20,160,377304,2358,1
add-none,8,20,320,843036,2634,0
add-yield-none,8,20,320,504605,1576,1
add-none,12,20,480,617729,1286,0
add-yield-none,12,20,480,1332026,2775,2
add-none,1,40,80,397801,4972,0
add-yield-none,1,40,80,338714,4233,0
add-none,2,40,160,361047,2256,0
add-yield-none,2,40,160,397842,2486,0
add-none,4,40,320,366581,1145,0
add-yield-none,4,40,320,420095,1312,1
add-none,8,40,640,497927,778,0
add-yield-none,8,40,640,456609,713,1
add-none,12,40,960,1339259,1395,0
add-yield-none,12,40,960,1301379,1355,5
add-none,1,80,160,304390,1902,0
add-yield-none,1,80,160,473308,2958,0
add-none,2,80,320,350205,1094,0
add-yield-none,2,80,320,474101,1481,0
add-none,4,80,640,385375,602,0
add-yield-none,4,80,640,427219,667,1
add-none,8,80,1280,539733,421,0
add-yield-none,8,80,1280,530775,414,1
add-none,12,80,1920,1218622,634,0
add-yield-none,12,80,1920,614440,320,2
add-none,1,100,200,323057,1615,0
add-yield-none,1,100,200,462425,2312,0
add-none,2,100,400,320059,800,0
add-yield-none,2,100,400,439870,1099,1
add-none,4,100,800,380006,475,0
add-yield-none,4,100,800,543113,678,1
add-none,8,100,1600,555802,347,0
add-yield-none,8,100,1600,576528,360,1
add-none,12,100,2400,1104370,460,0
add-yield-none,12,100,2400,605288,252,1
add-none,1,1000,2000,336404,168,0
add-yield-none,1,1000,2000,1498452,749,0
add-none,2,1000,4000,332428,83,-1
add-yield-none,2,1000,4000,1786733,446,0
add-none,4,1000,8000,362547,45,0
add-yield-none,4,1000,8000,1794154,224,1
add-none,8,1000,16000,1274265,79,3
add-yield-none,8,1000,16000,2085871,130,2
add-none,12,1000,24000,1348378,56,1
add-yield-none,12,1000,24000,2626358,109,2
add-none,1,10000,20000,440431,22,0
add-yield-none,1,10000,20000,12474482,623,0
add-none,2,10000,40000,772400,19,16
add-yield-none,2,10000,40000,14828450,370,2
add-none,4,10000,80000,1164064,14,16
add-yield-none,4,10000,80000,14549841,181,2
add-none,8,10000,160000,2108295,13,32
add-yield-none,8,10000,160000,18163317,113,2
add-none,12,10000,240000,3058513,12,31
