list-none-m,1,1000,1,3000,3809265,1269,26
list-none-s,1,1000,1,3000,3838532,1279,24
list-none-m,2,1000,1,6000,25293913,4215,4164
list-none-s,2,1000,1,6000,39700947,6616,6461
list-none-m,4,1000,1,12000,92124906,7677,22554
list-none-s,4,1000,1,12000,128007391,10667,31853
list-none-m,8,1000,1,24000,413269500,17219,116071
list-none-s,8,1000,1,24000,456228232,19009,131669
list-none-m,12,1000,1,36000,1066102208,29613,299678
list-none-s,12,1000,1,36000,1246924496,34636,379546
list-none-m,16,1000,1,48000,1938591058,40387,555970
list-none-s,16,1000,1,48000,2381051396,49605,714355
list-none-m,24,1000,1,72000,4229895801,58748,1175093
list-none-s,24,1000,1,72000,6489534994,90132,2023876
list-id-none,1,1,4,3,191042,63680,0
list-id-none,4,1,4,12,268538,22378,0
list-id-none,8,1,4,24,1037313,43221,0
list-id-none,12,1,4,36,1113540,30931,0
list-id-none,16,1,4,48,1254166,26128,0
list-id-none,1,2,4,6,195033,32505,0
list-id-none,8,2,4,48,337647,7034,0
list-id-none,12,2,4,72,1228571,17063,0
list-id-none,1,4,4,12,168277,14023,0
list-id-none,4,4,4,48,246427,5133,0
list-id-none,8,4,4,96,329954,3437,0
list-id-none,16,4,4,192,1223897,6374,0
list-id-none,1,8,4,24,201362,8390,0
list-id-none,4,8,4,96,291489,3036,0
list-id-none,1,16,4,48,200226,4171,0
list-id-none,4,16,4,192,310623,1617,0
list-id-m,1,10,4,30,232554,7751,86
list-id-s,1,10,4,30,234871,7829,33
list-id-m,4,10,4,120,266485,2220,1344
list-id-s,4,10,4,120,248981,2074,365
list-id-m,8,10,4,240,370072,1541,1881
list-id-s,8,10,4,240,383595,1598,857
list-id-m,12,10,4,360,504243,1400,2783
list-id-s,12,10,4,360,1953172,5425,239
list-id-m,16,10,4,480,1262803,2630,2243
list-id-s,16,10,4,480,1196096,2491,398
list-id-m,1,20,4,60,225164,3752,55
list-id-s,1,20,4,60,225747,3762,27
list-id-m,4,20,4,240,346739,1444,890
list-id-s,4,20,4,240,364527,1518,629
list-id-m,8,20,4,480,511295,1065,2441
list-id-s,8,20,4,480,516791,1076,1932
list-id-m,12,20,4,720,771258,1071,4366
list-id-s,12,20,4,720,615706,855,2247
list-id-m,16,20,4,960,1001659,1043,6885
list-id-s,16,20,4,960,891703,928,1344
list-id-m,1,40,4,120,255363,2128,39
list-id-s,1,40,4,120,285472,2378,24
list-id-m,4,40,4,480,537205,1119,1328
list-id-s,4,40,4,480,484770,1009,850
list-id-m,8,40,4,960,1040547,1083,3540
list-id-s,8,40,4,960,790407,823,2647
list-id-m,12,40,4,1440,1445414,1003,6259
list-id-s,12,40,4,1440,1114600,774,4679
list-id-m,16,40,4,1920,1997956,1040,9370
list-id-s,16,40,4,1920,1862190,969,8364
list-id-m,1,80,4,240,356195,1484,31
list-id-s,1,80,4,240,319974,1333,24
list-id-m,4,80,4,960,1006042,1047,1540
list-id-s,4,80,4,960,737054,767,810
list-id-m,8,80,4,1920,1933804,1007,4348
list-id-s,8,80,4,1920,1695645,883,3687
list-id-m,12,80,4,2880,3048132,1058,8032
list-id-s,12,80,4,2880,3032102,1052,7631
list-id-m,16,80,4,3840,4171932,1086,12152
list-id-s,16,80,4,3840,4688414,1220,13559
list-none-m,1,1000,4,3000,1475125,491,24
list-none-s,1,1000,4,3000,1389214,463,22
list-none-m,1,1000,8,3000,1054410,351,24
list-none-s,1,1000,8,3000,1030869,343,22
list-none-m,1,1000,16,3000,783350,261,24
list-none-s,1,1000,16,3000,741385,247,22
list-none-m,2,1000,4,6000,10585903,1764,945
list-none-s,2,1000,4,6000,12786881,2131,678
list-none-m,2,1000,8,6000,7015475,1169,494
list-none-s,2,1000,8,6000,7032849,1172,224
list-none-m,2,1000,16,6000,4437734,739,259
list-none-s,2,1000,16,6000,4292619,715,115
list-none-m,4,1000,4,12000,20819468,1734,3237
list-none-s,4,1000,4,12000,28007359,2333,3659
list-none-m,4,1000,8,12000,11185546,932,1269
list-none-s,4,1000,8,12000,13157383,1096,1060
list-none-m,4,1000,16,12000,6759230,563,547
list-none-s,4,1000,16,12000,6654461,554,310
list-none-m,8,1000,4,24000,56745916,2364,12204
list-none-s,8,1000,4,24000,49593625,2066,10025
list-none-m,8,1000,8,24000,23118518,963,3776
list-none-s,8,1000,8,24000,19593524,816,2784
list-none-m,8,1000,16,24000,11400844,475,1355
list-none-s,8,1000,16,24000,9526848,396,848
list-none-m,12,1000,4,36000,120217636,3339,29329
list-none-s,12,1000,4,36000,102611441,2850,24414
list-none-m,12,1000,8,36000,42997624,1194,8288
list-none-s,12,1000,8,36000,34996291,972,6310
list-none-m,12,1000,16,36000,19292067,535,2775
list-none-s,12,1000,16,36000,14808668,411,1805
